! Mlynczak, 1993, GRL, p. 1439, "Rate of absorption of Solar Radiation in the O2(X3Sigma->b1Sigma) transition
! TABLE 1. Values of G(z) as a function of altitude (km), pressure (log10p, mbar), and solar zenith angle (degrees).
!
! This table was scanned to /home/simonc/data_direct/Mlynczak-1993.dat and interpolated to the SOCRATES pressure grid
! The "log-p" alt coordinate below is = 7 * ln(p0/p)
!
! log-p alt
!  (km)     SZA=10.  SZA=15.  SZA=20.  SZA=25.  SZA=30.  SZA=35.  SZA=40.  SZA=45.  SZA=50.  SZA=55.  SZA=60.  SZA=65.  SZA=70.  SZA=75.  SZA=80.  SZA=85.  SZA=90. 

  83.0000   0.9922   0.9920   0.9919   0.9916   0.9913   0.9906   0.9902   0.9895   0.9886   0.9877   0.9864   0.9848   0.9812   0.9759   0.9662   0.9397   0.7889
  82.0000   0.9912   0.9910   0.9909   0.9906   0.9903   0.9895   0.9890   0.9883   0.9872   0.9861   0.9846   0.9826   0.9786   0.9727   0.9612   0.9309   0.7623
  81.0000   0.9900   0.9899   0.9898   0.9894   0.9891   0.9884   0.9876   0.9870   0.9858   0.9844   0.9826   0.9801   0.9757   0.9693   0.9558   0.9214   0.7339
  80.0000   0.9888   0.9887   0.9885   0.9881   0.9877   0.9872   0.9862   0.9855   0.9842   0.9826   0.9805   0.9774   0.9725   0.9653   0.9498   0.9110   0.7040
  79.0000   0.9875   0.9873   0.9871   0.9866   0.9861   0.9856   0.9846   0.9836   0.9821   0.9803   0.9779   0.9743   0.9687   0.9601   0.9427   0.8986   0.6707
  78.0000   0.9862   0.9859   0.9857   0.9851   0.9844   0.9840   0.9829   0.9816   0.9799   0.9780   0.9753   0.9712   0.9649   0.9549   0.9355   0.8862   0.6373
  77.0000   0.9842   0.9839   0.9837   0.9831   0.9824   0.9818   0.9806   0.9790   0.9772   0.9749   0.9716   0.9669   0.9597   0.9483   0.9261   0.8700   0.6005
  76.0000   0.9822   0.9820   0.9818   0.9812   0.9804   0.9797   0.9782   0.9764   0.9745   0.9718   0.9679   0.9626   0.9545   0.9417   0.9167   0.8538   0.5637
  75.0000   0.9800   0.9798   0.9794   0.9788   0.9778   0.9770   0.9754   0.9733   0.9712   0.9680   0.9637   0.9575   0.9483   0.9337   0.9053   0.8347   0.5252
  74.0000   0.9778   0.9774   0.9769   0.9762   0.9751   0.9740   0.9724   0.9700   0.9676   0.9639   0.9592   0.9521   0.9417   0.9252   0.8932   0.8146   0.4861
  73.0000   0.9751   0.9747   0.9740   0.9732   0.9719   0.9706   0.9689   0.9662   0.9634   0.9592   0.9538   0.9458   0.9340   0.9153   0.8793   0.7922   0.4472
  72.0000   0.9719   0.9714   0.9706   0.9697   0.9682   0.9668   0.9647   0.9617   0.9584   0.9537   0.9475   0.9383   0.9250   0.9039   0.8635   0.7672   0.4085
  71.0000   0.9683   0.9679   0.9670   0.9659   0.9642   0.9626   0.9602   0.9568   0.9529   0.9477   0.9405   0.9303   0.9155   0.8916   0.8467   0.7410   0.3706
  70.0000   0.9636   0.9633   0.9623   0.9611   0.9593   0.9574   0.9545   0.9506   0.9461   0.9402   0.9322   0.9207   0.9042   0.8769   0.8269   0.7113   0.3349
  69.0000   0.9588   0.9586   0.9575   0.9561   0.9543   0.9520   0.9486   0.9444   0.9392   0.9326   0.9236   0.9109   0.8925   0.8618   0.8067   0.6811   0.2998
  68.0000   0.9534   0.9529   0.9516   0.9500   0.9480   0.9453   0.9417   0.9369   0.9311   0.9235   0.9132   0.8987   0.8779   0.8438   0.7827   0.6475   0.2694
  67.0000   0.9479   0.9473   0.9457   0.9438   0.9416   0.9387   0.9348   0.9295   0.9230   0.9144   0.9028   0.8865   0.8632   0.8257   0.7587   0.6140   0.2389
  66.0000   0.9408   0.9399   0.9382   0.9362   0.9335   0.9302   0.9256   0.9196   0.9123   0.9027   0.8897   0.8716   0.8454   0.8037   0.7306   0.5771   0.2134
  65.0000   0.9336   0.9326   0.9308   0.9286   0.9253   0.9217   0.9163   0.9098   0.9016   0.8910   0.8765   0.8566   0.8276   0.7817   0.7025   0.5403   0.1879
  64.0000   0.9244   0.9230   0.9211   0.9185   0.9149   0.9105   0.9049   0.8973   0.8883   0.8761   0.8601   0.8379   0.8058   0.7559   0.6705   0.5020   0.1674
  63.0000   0.9150   0.9134   0.9114   0.9083   0.9045   0.8992   0.8932   0.8846   0.8749   0.8611   0.8435   0.8190   0.7838   0.7298   0.6382   0.4637   0.1471
  62.0000   0.9033   0.9018   0.8994   0.8960   0.8916   0.8858   0.8788   0.8695   0.8582   0.8431   0.8235   0.7966   0.7580   0.6994   0.6023   0.4253   0.1310
  61.0000   0.8915   0.8900   0.8873   0.8835   0.8786   0.8723   0.8641   0.8543   0.8414   0.8249   0.8033   0.7740   0.7320   0.6686   0.5662   0.3869   0.1151
  60.0000   0.8774   0.8755   0.8724   0.8682   0.8627   0.8557   0.8469   0.8357   0.8217   0.8034   0.7796   0.7474   0.7019   0.6348   0.5285   0.3510   0.1027
  59.0000   0.8631   0.8608   0.8574   0.8527   0.8467   0.8390   0.8294   0.8168   0.8016   0.7815   0.7556   0.7206   0.6716   0.6008   0.4908   0.3152   0.0905
  58.0000   0.8453   0.8430   0.8392   0.8339   0.8272   0.8188   0.8080   0.7944   0.7774   0.7556   0.7272   0.6896   0.6377   0.5634   0.4519   0.2828   0.0808
  57.0000   0.8269   0.8244   0.8203   0.8145   0.8070   0.7980   0.7860   0.7712   0.7525   0.7288   0.6981   0.6579   0.6033   0.5259   0.4133   0.2512   0.0714
  56.0000   0.8056   0.8027   0.7981   0.7918   0.7839   0.7736   0.7607   0.7446   0.7245   0.6990   0.6661   0.6231   0.5664   0.4873   0.3759   0.2234   0.0632
  55.0000   0.7830   0.7798   0.7748   0.7680   0.7594   0.7480   0.7341   0.7168   0.6951   0.6679   0.6331   0.5878   0.5291   0.4489   0.3395   0.1974   0.0557
  54.0000   0.7582   0.7549   0.7492   0.7418   0.7324   0.7200   0.7051   0.6869   0.6633   0.6347   0.5980   0.5512   0.4908   0.4107   0.3050   0.1747   0.0496
  53.0000   0.7314   0.7277   0.7216   0.7136   0.7033   0.6902   0.6742   0.6549   0.6298   0.5999   0.5615   0.5136   0.4525   0.3735   0.2728   0.1544   0.0441
  52.0000   0.7028   0.6984   0.6923   0.6837   0.6724   0.6588   0.6419   0.6211   0.5951   0.5636   0.5240   0.4752   0.4141   0.3369   0.2425   0.1363   0.0392
  51.0000   0.6700   0.6657   0.6589   0.6497   0.6379   0.6237   0.6057   0.5837   0.5570   0.5242   0.4843   0.4351   0.3749   0.3011   0.2140   0.1193   0.0342
  50.0000   0.6359   0.6318   0.6241   0.6145   0.6022   0.5872   0.5683   0.5451   0.5177   0.4838   0.4440   0.3945   0.3355   0.2656   0.1862   0.1026   0.0292
  49.0000   0.5978   0.5928   0.5852   0.5753   0.5624   0.5469   0.5272   0.5039   0.4761   0.4422   0.4026   0.3548   0.2987   0.2342   0.1625   0.0890   0.0252
  48.0000   0.5583   0.5528   0.5451   0.5349   0.5216   0.5054   0.4853   0.4619   0.4338   0.4003   0.3613   0.3154   0.2625   0.2036   0.1396   0.0761   0.0217
  47.0000   0.5156   0.5102   0.5022   0.4914   0.4781   0.4614   0.4413   0.4178   0.3900   0.3576   0.3201   0.2766   0.2282   0.1750   0.1190   0.0647   0.0191
  46.0000   0.4715   0.4660   0.4578   0.4470   0.4337   0.4170   0.3972   0.3740   0.3468   0.3159   0.2804   0.2401   0.1964   0.1492   0.1006   0.0544   0.0162
  45.0000   0.4262   0.4204   0.4122   0.4018   0.3884   0.3723   0.3529   0.3304   0.3041   0.2752   0.2420   0.2055   0.1665   0.1256   0.0840   0.0452   0.0132
  44.0000   0.3819   0.3765   0.3686   0.3585   0.3454   0.3302   0.3118   0.2908   0.2667   0.2397   0.2101   0.1775   0.1431   0.1076   0.0721   0.0389   0.0117
  43.0000   0.3376   0.3326   0.3252   0.3153   0.3024   0.2882   0.2709   0.2513   0.2295   0.2044   0.1786   0.1498   0.1199   0.0900   0.0604   0.0328   0.0103
  42.0000   0.2972   0.2926   0.2855   0.2764   0.2645   0.2514   0.2355   0.2181   0.1985   0.1764   0.1534   0.1284   0.1028   0.0771   0.0521   0.0283   0.0093
  41.0000   0.2574   0.2533   0.2465   0.2382   0.2273   0.2155   0.2010   0.1857   0.1684   0.1493   0.1291   0.1078   0.0863   0.0648   0.0442   0.0239   0.0084
  40.0000   0.2236   0.2199   0.2138   0.2063   0.1968   0.1861   0.1736   0.1600   0.1448   0.1283   0.1110   0.0929   0.0746   0.0560   0.0382   0.0215   0.0079
  39.0000   0.1909   0.1877   0.1823   0.1756   0.1674   0.1578   0.1473   0.1354   0.1223   0.1084   0.0938   0.0786   0.0633   0.0477   0.0326   0.0191   0.0075
  38.0000   0.1647   0.1618   0.1571   0.1513   0.1441   0.1359   0.1268   0.1166   0.1056   0.0935   0.0808   0.0681   0.0550   0.0418   0.0289   0.0174   0.0074
  37.0000   0.1399   0.1373   0.1333   0.1284   0.1222   0.1152   0.1076   0.0990   0.0898   0.0796   0.0688   0.0582   0.0473   0.0364   0.0255   0.0160   0.0074
  36.0000   0.1210   0.1188   0.1151   0.1113   0.1059   0.0998   0.0935   0.0860   0.0783   0.0695   0.0605   0.0513   0.0421   0.0327   0.0234   0.0153   0.0073
  35.0000   0.1033   0.1016   0.0983   0.0953   0.0907   0.0855   0.0804   0.0739   0.0675   0.0601   0.0528   0.0450   0.0374   0.0294   0.0216   0.0147   0.0073
  34.0000   0.0908   0.0893   0.0865   0.0839   0.0799   0.0755   0.0712   0.0657   0.0601   0.0538   0.0476   0.0410   0.0344   0.0275   0.0208   0.0143   0.0076
  33.0000   0.0792   0.0779   0.0756   0.0734   0.0700   0.0661   0.0627   0.0581   0.0533   0.0480   0.0429   0.0374   0.0318   0.0259   0.0202   0.0141   0.0079
