! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Fri Sep 22 17:53:16 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v5s23a_30yr.small.nc
        o3 (vmr)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)         40.!       (km)        (mb)
!-----------|-----------!-----------|-----------
         95.    1.61e-06      90.442  1.2934e-03
         96.    1.69e-06      91.181  1.1212e-03
         97.    1.76e-06      91.914  9.7193e-04
         98.    1.82e-06      92.643  8.4255e-04
         99.    1.85e-06      93.369  7.3038e-04
        100.    1.87e-06      94.094  6.3315e-04
        101.    1.86e-06      94.817  5.4887e-04
        102.    1.82e-06      95.540  4.7580e-04
        103.    1.75e-06      96.265  4.1246e-04
        104.    1.65e-06      96.994  3.5755e-04
        105.    1.51e-06      97.731  3.0996e-04
        106.    1.34e-06      98.481  2.6869e-04
        107.    1.15e-06      99.248  2.3292e-04
        108.    9.37e-07     100.042  2.0192e-04
        109.    7.25e-07     100.870  1.7504e-04
        110.    5.30e-07     101.738  1.5174e-04
        111.    3.66e-07     102.654  1.3154e-04
        112.    2.40e-07     103.628  1.1403e-04
        113.    1.52e-07     104.661  9.8847e-05
        114.    9.40e-08     105.754  8.5688e-05
        115.    5.80e-08     106.905  7.4281e-05
        116.    3.61e-08     108.110  6.4393e-05
        117.    2.31e-08     109.366  5.5821e-05
        118.    1.54e-08     110.670  4.8390e-05
        119.    1.10e-08     112.012  4.1948e-05
        120.    8.58e-09     113.384  3.6364e-05

!=========================================================================================

           9/18/2003  | <- simulation date of this field, mm/dd/yy 

